iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.8698787184	0.6888419959	0.8698787184	0.8698787184	0.8305153095	0.8305153095	0.9131591449	0.9131591449
1	0.8719570981	0.6845599897	0.8719570981	0.8719570981	0.8314516361	0.8314516361	0.9166112431	0.9166112431
2	0.8719648129	0.6803385368	0.8719648129	0.8719648129	0.8314135524	0.8314135524	0.9166745843	0.9166745843
3	0.8704761618	0.6761531023	0.8704761618	0.8704761618	0.8305050621	0.8305050621	0.9144893112	0.9144893112
4	0.8699377065	0.6720668623	0.8699377065	0.8699377065	0.8304918788	0.8304918788	0.913317498	0.913317498
5	0.8705893011	0.6679612027	0.8705893011	0.8705893011	0.8318905817	0.8318905817	0.913064133	0.913064133
6	0.8698616705	0.6639362436	0.8698616705	0.8698616705	0.8305104275	0.8305104275	0.9131274743	0.9131274743
7	0.8699128126	0.6597454068	0.8699128126	0.8699128126	0.8305250727	0.8305250727	0.9132224861	0.9132224861
8	0.8705971163	0.6555906989	0.8705971163	0.8705971163	0.8318522793	0.8318522793	0.9131274743	0.9131274743
9	0.8706063534	0.6514920694	0.8706063534	0.8706063534	0.8318954324	0.8318954324	0.9130958036	0.9130958036
10	0.8706234053	0.6474385238	0.8706234053	0.8706234053	0.8319002828	0.8319002828	0.9131274743	0.9131274743
11	0.8706745576	0.6434487753	0.8706745576	0.8706745576	0.8319148322	0.8319148322	0.9132224861	0.9132224861
12	0.8707509702	0.6395436229	0.8707509702	0.8707509702	0.8321595567	0.8321595567	0.9130958036	0.9130958036
13	0.8707509702	0.6356906093	0.8707509702	0.8707509702	0.8321595567	0.8321595567	0.9130958036	0.9130958036
14	0.8707680227	0.631910782	0.8707680227	0.8707680227	0.832164401	0.832164401	0.9131274743	0.9131274743
15	0.8707680227	0.6281636926	0.8707680227	0.8707680227	0.832164401	0.832164401	0.9131274743	0.9131274743
16	0.8706628416	0.624437546	0.8706628416	0.8706628416	0.8319722984	0.8319722984	0.9131274743	0.9131274743
17	0.8706745576	0.620890788	0.8706745576	0.8706745576	0.8319148322	0.8319148322	0.9132224861	0.9132224861
18	0.8707509702	0.6172363834	0.8707509702	0.8707509702	0.8321595567	0.8321595567	0.9130958036	0.9130958036
19	0.8707047527	0.6135293784	0.8707047527	0.8707047527	0.8319436831	0.8319436831	0.9132541568	0.9132541568
20	0.8706916074	0.6100011455	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
21	0.8707047527	0.6064879946	0.8707047527	0.8707047527	0.8319436831	0.8319436831	0.9132541568	0.9132541568
22	0.8707207683	0.6030639031	0.8707207683	0.8707207683	0.8321306933	0.8321306933	0.913064133	0.913064133
23	0.8707178984	0.5997844954	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
24	0.8707339172	0.5964456207	0.8707339172	0.8707339172	0.8321547121	0.8321547121	0.913064133	0.913064133
25	0.8707339172	0.5931096748	0.8707339172	0.8707339172	0.8321547121	0.8321547121	0.913064133	0.913064133
26	0.8707680227	0.5898227134	0.8707680227	0.8707680227	0.832164401	0.832164401	0.9131274743	0.9131274743
27	0.8707680227	0.5865770041	0.8707680227	0.8707680227	0.832164401	0.832164401	0.9131274743	0.9131274743
28	0.8707509702	0.5833767865	0.8707509702	0.8707509702	0.8321595567	0.8321595567	0.9130958036	0.9130958036
29	0.8707509702	0.5801079836	0.8707509702	0.8707509702	0.8321595567	0.8321595567	0.9130958036	0.9130958036
30	0.8707168637	0.5770027184	0.8707168637	0.8707168637	0.8321498672	0.8321498672	0.9130324624	0.9130324624
31	0.8707168637	0.5739523585	0.8707168637	0.8707168637	0.8321498672	0.8321498672	0.9130324624	0.9130324624
32	0.8706379766	0.5709698244	0.8706379766	0.8706379766	0.832005772	0.832005772	0.9130324624	0.9130324624
33	0.8707168637	0.5679791204	0.8707168637	0.8707168637	0.8321498672	0.8321498672	0.9130324624	0.9130324624
34	0.8706116841	0.5650726475	0.8706116841	0.8706116841	0.8319577514	0.8319577514	0.9130324624	0.9130324624
35	0.8707008485	0.5621687526	0.8707008485	0.8707008485	0.8319628379	0.8319628379	0.9132224861	0.9132224861
36	0.8706877029	0.5593087336	0.8706877029	0.8706877029	0.8319388344	0.8319388344	0.9132224861	0.9132224861
37	0.8707008485	0.556472723	0.8707008485	0.8707008485	0.8319628379	0.8319628379	0.9132224861	0.9132224861
38	0.8706116841	0.5536778266	0.8706116841	0.8706116841	0.8319577514	0.8319577514	0.9130324624	0.9130324624
39	0.8707037149	0.5509404195	0.8707037149	0.8707037149	0.8321258479	0.8321258479	0.9130324624	0.9130324624
40	0.8706287371	0.5482517865	0.8706287371	0.8706287371	0.8319626006	0.8319626006	0.913064133	0.913064133
41	0.8706550297	0.5457809626	0.8706550297	0.8706550297	0.8320106202	0.8320106202	0.913064133	0.913064133
42	0.8706550297	0.5432267897	0.8706550297	0.8706550297	0.8320106202	0.8320106202	0.913064133	0.913064133
43	0.8707339172	0.5405950992	0.8707339172	0.8707339172	0.8321547121	0.8321547121	0.913064133	0.913064133
44	0.8707339172	0.5380036241	0.8707339172	0.8707339172	0.8321547121	0.8321547121	0.913064133	0.913064133
45	0.8707339172	0.5354173035	0.8707339172	0.8707339172	0.8321547121	0.8321547121	0.913064133	0.913064133
46	0.870744191	0.5329328467	0.870744191	0.870744191	0.8320156962	0.8320156962	0.9132541568	0.9132541568
47	0.870744191	0.5305569556	0.870744191	0.870744191	0.8320156962	0.8320156962	0.9132541568	0.9132541568
48	0.8706418832	0.5280926201	0.8706418832	0.8706418832	0.8319866097	0.8319866097	0.913064133	0.913064133
49	0.8707339172	0.525663618	0.8707339172	0.8707339172	0.8321547121	0.8321547121	0.913064133	0.913064133
50	0.8706550297	0.5232797064	0.8706550297	0.8706550297	0.8320106202	0.8320106202	0.913064133	0.913064133
51	0.8707339172	0.5209382419	0.8707339172	0.8707339172	0.8321547121	0.8321547121	0.913064133	0.913064133
52	0.870744191	0.518614	0.870744191	0.870744191	0.8320156962	0.8320156962	0.9132541568	0.9132541568
53	0.8707178984	0.5163236441	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
54	0.8707178984	0.5140901827	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
55	0.8707047527	0.5118967457	0.8707047527	0.8707047527	0.8319436831	0.8319436831	0.9132541568	0.9132541568
56	0.8707178984	0.5096788982	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
57	0.8707178984	0.5074921752	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
58	0.870744191	0.5053211953	0.870744191	0.870744191	0.8320156962	0.8320156962	0.9132541568	0.9132541568
59	0.8707178984	0.5032275181	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
60	0.8707178984	0.5011390948	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
61	0.8707178984	0.4990660747	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
62	0.8707178984	0.4968959019	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
63	0.8707178984	0.494897567	0.8707178984	0.8707178984	0.8319676861	0.8319676861	0.9132541568	0.9132541568
64	0.8707047527	0.4928998326	0.8707047527	0.8707047527	0.8319436831	0.8319436831	0.9132541568	0.9132541568
65	0.8706916074	0.4909454798	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
66	0.8706916074	0.4890168642	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
67	0.8706916074	0.4870957008	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
68	0.8706916074	0.4852869775	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
69	0.8706916074	0.4833821378	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
70	0.8706916074	0.4816216313	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
71	0.8706916074	0.4797246615	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
72	0.8706916074	0.4779409789	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
73	0.8706916074	0.4760732594	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
74	0.8706784625	0.4743350669	0.8706784625	0.8706784625	0.8318956813	0.8318956813	0.9132541568	0.9132541568
75	0.8706784625	0.4726072383	0.8706784625	0.8706784625	0.8318956813	0.8318956813	0.9132541568	0.9132541568
76	0.8706784625	0.4707754619	0.8706784625	0.8706784625	0.8318956813	0.8318956813	0.9132541568	0.9132541568
77	0.8706784625	0.4691611161	0.8706784625	0.8706784625	0.8318956813	0.8318956813	0.9132541568	0.9132541568
78	0.8709755288	0.46735605	0.8709755288	0.8709755288	0.831676607	0.831676607	0.9141726049	0.9141726049
79	0.8706784625	0.4657115205	0.8706784625	0.8706784625	0.8318956813	0.8318956813	0.9132541568	0.9132541568
80	0.8711386101	0.4637701062	0.8711386101	0.8711386101	0.8320265206	0.8320265206	0.9141092637	0.9141092637
81	0.8706916074	0.4621535868	0.8706916074	0.8706916074	0.8319196815	0.8319196815	0.9132541568	0.9132541568
82	0.8707086567	0.4604739714	0.8707086567	0.8707086567	0.8319245305	0.8319245305	0.9132858274	0.9132858274
83	0.8713712959	0.4589443124	0.8713712959	0.8713712959	0.8313249547	0.8313249547	0.9154711006	0.9154711006
84	0.8813952451	0.4569674368	0.8813952451	0.8813952451	0.8306709265	0.8306709265	0.9387173397	0.9387173397
85	0.8739200337	0.455430075	0.8739200337	0.8739200337	0.8314083138	0.8314083138	0.92101346	0.92101346
86	0.881593015	0.4535000056	0.881593015	0.881593015	0.8299085801	0.8299085801	0.9401425178	0.9401425178
87	0.881593015	0.4520264544	0.881593015	0.881593015	0.8299085801	0.8299085801	0.9401425178	0.9401425178
88	0.8810462944	0.4505790284	0.8810462944	0.8810462944	0.828374648	0.828374648	0.9408709422	0.9408709422
89	0.881593015	0.4489965513	0.881593015	0.881593015	0.8299085801	0.8299085801	0.9401425178	0.9401425178
