iter	Passed	Remaining
0	132	132766
1	377	188608
2	493	164055
3	588	146622
4	715	142367
5	845	140137
6	959	136083
7	1077	133611
8	1166	128499
9	1251	123936
10	1366	122875
11	1590	130990
12	1690	128364
13	1794	126375
14	1891	124193
15	1999	122985
16	2119	122572
17	2217	121001
18	2330	120328
19	2462	120649
20	3266	152270
21	3470	154299
22	3563	151355
23	3668	149180
24	3758	146584
25	3854	144379
26	3952	142420
27	4056	140822
28	4157	139208
29	4250	137438
30	4345	135820
31	4518	136670
32	4698	137683
33	4812	136734
34	4914	135487
35	5006	134070
36	5120	133269
37	5220	132158
38	5338	131553
39	5433	130398
40	5523	129198
41	5642	128708
42	5835	129878
43	5939	129053
44	6037	128128
45	6123	127003
46	6218	126082
47	6321	125384
48	6439	124974
49	6526	123998
50	6640	123559
51	6770	123422
52	6986	124829
53	7112	124604
54	7204	123794
55	7343	123785
56	7445	123178
57	7558	122768
58	7649	122006
59	7739	121258
60	7856	120935
61	7987	120849
62	8196	121913
63	8297	121354
64	8391	120702
65	8507	120390
66	8628	120149
67	8722	119552
68	8851	119428
69	8954	118966
70	9040	118288
71	9155	118007
72	9441	119896
73	9661	120905
74	9763	120411
75	9854	119813
76	9960	119395
77	10065	118980
78	10171	118576
79	10268	118092
80	10514	119291
81	10667	119427
82	10767	118960
83	10868	118521
84	11012	118546
85	11136	118354
86	11234	117895
87	11355	117687
88	11463	117335
89	11688	118185
90	11792	117791
91	11898	117435
92	11999	117032
93	12120	116819
94	12227	116479
95	12333	116139
96	12447	115873
97	12556	115566
98	12684	115442
99	12908	116176
100	13021	115907
101	13134	115632
102	13247	115365
103	13361	115115
104	13470	114818
105	13579	114525
106	13692	114272
107	13801	113991
108	14044	114801
109	14170	114649
110	14283	114392
111	14408	114238
112	14500	113820
113	14619	113618
114	14733	113386
115	14840	113095
116	14947	112809
117	15074	112678
118	15276	113097
119	15375	112752
120	15480	112455
121	15587	112178
122	15698	111930
123	15793	111571
124	15892	111247
125	16001	110991
126	16115	110777
127	16250	110709
128	16460	111139
129	16577	110942
130	16683	110668
131	16777	110325
132	16864	109936
133	17011	109938
134	17106	109609
135	17205	109305
136	17312	109053
137	17440	108938
138	17678	109505
139	17809	109400
140	17901	109056
141	17991	108709
142	18101	108482
143	18217	108294
144	18334	108112
145	18444	107886
146	18569	107752
147	18808	108273
148	18931	108123
149	19027	107823
150	19144	107640
151	19253	107412
152	19353	107138
153	19451	106855
154	19558	106625
155	19663	106387
156	19753	106064
157	19981	106485
158	20094	106284
159	20197	106038
160	20302	105801
161	20422	105643
162	20534	105444
163	20638	105207
164	20725	104884
165	20818	104591
166	20922	104360
167	21162	104805
168	21285	104664
169	21395	104458
170	21513	104296
171	21638	104164
172	21763	104036
173	21876	103852
174	21983	103634
175	22094	103443
176	22327	103814
177	22542	104101
178	22680	104025
179	22788	103816
180	22891	103580
181	23008	103410
182	23124	103239
183	23231	103024
184	23469	103393
185	23597	103271
186	23708	103072
187	23823	102899
188	23949	102766
189	24074	102633
190	24189	102458
191	24293	102234
192	24405	102048
193	24570	102082
194	24763	102227
195	24874	102034
196	24975	101805
197	25076	101571
