iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.8707532233	0.6886764363	0.8707532233	0.8707532233	0.8310880829	0.8310880829	0.9143942993	0.9143942993
1	0.870786771	0.6843840945	0.870786771	0.870786771	0.8311884609	0.8311884609	0.9143467933	0.9143467933
2	0.870786771	0.6800553676	0.870786771	0.870786771	0.8311884609	0.8311884609	0.9143467933	0.9143467933
3	0.8708203249	0.675818502	0.8708203249	0.8708203249	0.8312888735	0.8312888735	0.9142992874	0.9142992874
4	0.8724317002	0.6715729487	0.8724317002	0.8724317002	0.8313253012	0.8313253012	0.9178147268	0.9178147268
5	0.8724288198	0.6672394025	0.8724288198	0.8724288198	0.8313395585	0.8313395585	0.9177909739	0.9177909739
6	0.8721276692	0.6631039856	0.8721276692	0.8721276692	0.8308317564	0.8308317564	0.9177434679	0.9177434679
7	0.8721728139	0.6588637603	0.8721728139	0.8721728139	0.8308747635	0.8308747635	0.9177909739	0.9177909739
8	0.87241609	0.6547220761	0.87241609	0.87241609	0.8313359296	0.8313359296	0.9177672209	0.9177672209
9	0.8724132091	0.6507870459	0.8724132091	0.8724132091	0.8313501883	0.8313501883	0.9177434679	0.9177434679
10	0.8724004787	0.6467288751	0.8724004787	0.8724004787	0.8313465594	0.8313465594	0.917719715	0.917719715
11	0.8723975974	0.6427344406	0.8723975974	0.8723975974	0.8313608194	0.8313608194	0.917695962	0.917695962
12	0.8723975974	0.6387653843	0.8723975974	0.8723975974	0.8313608194	0.8313608194	0.917695962	0.917695962
13	0.8723975974	0.6348915277	0.8723975974	0.8723975974	0.8313608194	0.8313608194	0.917695962	0.917695962
14	0.8725355134	0.6310273747	0.8725355134	0.8725355134	0.8316113479	0.8316113479	0.917695962	0.917695962
15	0.872581902	0.6272672383	0.872581902	0.872581902	0.8317151407	0.8317151407	0.917672209	0.917672209
16	0.872581902	0.6235230344	0.872581902	0.872581902	0.8317151407	0.8317151407	0.917672209	0.917672209
17	0.872581902	0.6198354674	0.872581902	0.872581902	0.8317151407	0.8317151407	0.917672209	0.917672209
18	0.8729491525	0.6161926513	0.8729491525	0.8729491525	0.8325	0.8325	0.9175296912	0.9175296912
19	0.8730153349	0.6125764169	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
20	0.8730153349	0.609009436	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
21	0.8730153349	0.6055264459	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
22	0.8730280703	0.6020878612	0.8730280703	0.8730280703	0.8326435592	0.8326435592	0.9175296912	0.9175296912
23	0.872978745	0.5986983785	0.872978745	0.872978745	0.8325538289	0.8325538289	0.9175296912	0.9175296912
24	0.8729676289	0.5953420316	0.8729676289	0.8729676289	0.8324749488	0.8324749488	0.9176009501	0.9176009501
25	0.8727424693	0.5920170229	0.8727424693	0.8727424693	0.8319874238	0.8319874238	0.917695962	0.917695962
26	0.87299148	0.5887234732	0.87299148	0.87299148	0.8325574378	0.8325574378	0.9175534442	0.9175534442
27	0.8730153349	0.5854926668	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
28	0.8730153349	0.5822835067	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
29	0.8730280703	0.5792038581	0.8730280703	0.8730280703	0.8326435592	0.8326435592	0.9175296912	0.9175296912
30	0.8730408055	0.5760925529	0.8730408055	0.8730408055	0.8326471666	0.8326471666	0.9175534442	0.9175534442
31	0.8730153349	0.5730199467	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
32	0.8730153349	0.5699774829	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
33	0.8730280703	0.5670765714	0.8730280703	0.8730280703	0.8326435592	0.8326435592	0.9175296912	0.9175296912
34	0.8730153349	0.5641493897	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
35	0.8730025992	0.561220344	0.8730025992	0.8730025992	0.832636344	0.832636344	0.9174821853	0.9174821853
36	0.8730153349	0.558318825	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
37	0.8730153349	0.555449123	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
38	0.8730153349	0.5526233629	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
39	0.8730153349	0.549854589	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
