iter	Passed	Remaining
0	137	136995
1	252	126204
2	376	125179
3	483	120496
4	574	114376
5	673	111549
6	827	117340
7	955	118515
8	1080	118984
9	1194	118281
10	1331	119703
11	1456	119910
12	1559	118428
13	1663	117123
14	1778	116808
15	1875	115330
16	1974	114200
17	2104	114823
18	2220	114666
19	2333	114320
20	2450	114258
21	2560	113821
22	2718	115496
23	2820	114699
24	2946	114920
25	3038	113844
26	3139	113136
27	3235	112326
28	3326	111391
29	3449	111549
30	3577	111833
31	3677	111254
32	3792	111119
33	3892	110602
34	3996	110187
35	4094	109643
36	4215	109726
37	4325	109511
38	4439	109390
39	4539	108955
40	4656	108918
41	4770	108811
42	4862	108220
43	4972	108041
44	5069	107590
45	5171	107246
46	5271	106880
47	5412	107355
48	5518	107112
49	5614	106676
50	5725	106537
51	5871	107036
52	5989	107021
53	6110	107044
54	6280	107910
55	6387	107674
56	6518	107834
57	6632	107726
58	6732	107377
59	6880	107789
60	6967	107250
61	7069	106955
62	7191	106954
63	7317	107014
64	7459	107296
65	7561	107005
66	7693	107128
67	7838	107434
68	7951	107287
69	8097	107586
70	8212	107451
71	8350	107624
72	8481	107700
73	8625	107931
74	8767	108138
75	8888	108069
76	9031	108261
77	9135	107991
78	9267	108044
79	9394	108040
80	9540	108244
81	9737	109013
82	9866	109007
83	9983	108865
84	10121	108958
85	10263	109080
86	10387	109006
87	10494	108756
88	10643	108949
89	10775	108947
90	10904	108925
91	11063	109187
92	11211	109338
93	11341	109308
94	11451	109086
95	11577	109019
96	11703	108955
97	11830	108889
98	11951	108770
99	12085	108773
100	12224	108806
101	12361	108829
102	12528	109109
103	12669	109156
104	12804	109138
105	12941	109149
106	13074	109113
107	13206	109077
108	13334	109003
109	13453	108850
110	13579	108762
111	13718	108764
112	13846	108691
113	13969	108573
114	14103	108536
115	14228	108432
116	14363	108398
117	14491	108315
118	14610	108165
119	14728	108005
120	14852	107896
121	14985	107849
122	15118	107796
123	15243	107691
124	15366	107568
125	15491	107458
126	15616	107348
127	15732	107179
128	15865	107122
129	15979	106939
130	16105	106834
131	16230	106724
132	16361	106660
133	16495	106605
134	16650	106686
135	16788	106655
136	16932	106661
137	17043	106458
138	17169	106352
139	17302	106286
140	17430	106190
141	17571	106172
142	17716	106175
143	17846	106084
144	18002	106154
145	18195	106431
146	18348	106468
147	18460	106275
148	18587	106163
149	18713	106040
150	18856	106018
151	18982	105904
152	19129	105898
153	19258	105798
154	19405	105789
155	19543	105736
156	19678	105663
157	19823	105641
158	19953	105538
159	20098	105517
160	20219	105366
161	20352	105278
162	20492	105230
163	20644	105234
164	20785	105187
165	20923	105119
166	21065	105074
167	21192	104951
168	21315	104810
169	21439	104675
170	21573	104588
171	21673	104336
172	21810	104259
173	21978	104334
174	22126	104310
175	22242	104135
176	22395	104130
177	22532	104053
178	22662	103942
179	22798	103858
180	22921	103716
181	23067	103675
182	23212	103630
183	23353	103568
184	23479	103436
185	23616	103354
186	23749	103253
187	23860	103059
188	23992	102951
189	24113	102799
190	24246	102699
191	24378	102594
192	24504	102461
193	24644	102390
194	24788	102331
195	24943	102321
196	25083	102245
197	25212	102123
198	25344	102014
199	25485	101942
200	25633	101895
201	25762	101774
202	25891	101654
203	26045	101628
204	26191	101571
205	26304	101387
206	26429	101250
207	26575	101191
208	26735	101186
209	26883	101134
210	27065	101206
211	27207	101129
212	27333	100991
213	27462	100868
214	27584	100714
215	27723	100624
216	27886	100622
217	28023	100523
218	28153	100401
219	28265	100214
220	28400	100108
221	28534	100000
222	28680	99931
223	28814	99822
224	28961	99756
225	29106	99683
226	29230	99536
227	29363	99423
228	29494	99303
229	29628	99191
230	29778	99134
231	29915	99029
232	30061	98958
233	30190	98829
234	30399	98960
235	30528	98829
236	30671	98744
237	30815	98662
238	30937	98506
239	31094	98465
240	31240	98387
241	31389	98320
242	31512	98167
243	31644	98046
244	31783	97944
245	31937	97890
246	32075	97784
247	32219	97696
248	32382	97668
249	32525	97575
250	32670	97489
251	32798	97355
252	32966	97336
253	33103	97225
254	33240	97112
255	33387	97032
256	33537	96958
257	33670	96836
258	33803	96710
259	33943	96609
260	34090	96523
261	34224	96402
262	34346	96249
263	34493	96163
264	34636	96068
265	34746	95879
266	34893	95794
267	35032	95685
268	35159	95543
269	35276	95376
270	35393	95209
271	35526	95085
272	35663	94972
273	35824	94922
274	35987	94876
275	36117	94741
276	36259	94640
277	36380	94485
278	36503	94333
279	36645	94231
280	36763	94067
281	36874	93886
282	37016	93784
283	37174	93721
284	37320	93628
285	37460	93520
286	37584	93371
287	37700	93203
288	37824	93057
289	37968	92956
290	38109	92849
291	38226	92685
292	38376	92601
293	38509	92475
294	38652	92373
295	38776	92225
296	38910	92100
297	39055	92002
298	39195	91892
299	39334	91780
300	39465	91650
301	39582	91485
302	39718	91366
303	39854	91246
304	39991	91127
305	40122	90997
306	40264	90889
307	40377	90717
308	40496	90560
309	40619	90411
310	40752	90284
311	40877	90140
312	41024	90044
313	41149	89899
314	41296	89803
315	41432	89682
316	41565	89555
317	41740	89518
318	41864	89372
319	41985	89218
320	42118	89092
321	42279	89023
322	42435	88942
323	42569	88818
324	42696	88677
325	42841	88573
326	42991	88481
327	43137	88378
328	43279	88268
329	43446	88208
330	43572	88066
331	43704	87934
332	43852	87835
333	43976	87689
334	44109	87561
335	44260	87466
336	44417	87384
337	44570	87294
338	44708	87174
339	44851	87063
340	45060	87081
341	45202	86969
342	45349	86865
343	45502	86772
344	45648	86665
345	45790	86551
346	45946	86464
347	46090	86353
348	46225	86225
349	46350	86079
350	46520	86017
351	46658	85893
352	46804	85785
353	46951	85680
354	47099	85574
355	47239	85455
356	47363	85307
357	47482	85150
358	47647	85075
359	47770	84926
360	47902	84791
361	48042	84672
362	48178	84544
363	48320	84428
364	48452	84293
365	48610	84205
366	48760	84101
367	48912	84001
368	49047	83872
369	49181	83741
370	49315	83611
371	49447	83475
372	49569	83324
373	49713	83209
374	49841	83068
375	49987	82957
376	50130	82841
377	50269	82719
378	50421	82617
379	50550	82476
380	50722	82406
381	50880	82314
382	51026	82201
383	51182	82105
384	51321	81981
385	51494	81910
386	51639	81795
387	51795	81698
388	51942	81586
389	52091	81475
390	52239	81366
